code,n,processes,time1message,time1effective,time2message,time2effective
MD,256,8,0.000384185,0.000002103,0.000743017,0.000023837
MC,256,8,0.000194209,0.000002000,0.000739398,0.000024414
MB,256,8,0.000000000,0.000000000,0.002135463,0.000018673
M,256,16,0.000443311,0.000000970,0.001747162,0.000013285
MD,256,16,0.000502572,0.000000608,0.001406429,0.000011094
MC,256,16,0.000244544,0.000000629,0.000553591,0.000012400
MB,256,16,0.000000000,0.000000000,0.002455709,0.000009434
S,512,1,0.000760695,0.000760695,0.004492773,0.004492773
SB,512,1,471.359477516,471.359477516,0.000791091,0.000791091
M,512,1,0.000801468,0.000800490,0.004656210,0.004434288
MD,512,1,0.001499383,0.000945761,0.005352283,0.004711826
MC,512,1,0.001619060,0.000432785,0.007208903,0.004679711
MB,512,1,0.000000000,0.000000000,0.011053376,0.000506518
M,512,2,0.000914586,0.000153973,0.002103572,0.001348019
MD,512,2,0.001093693,0.000174069,0.002069530,0.001376760
MC,512,2,0.001356003,0.000121226,0.003279560,0.001525204
MB,512,2,0.000000000,0.000000000,0.008258917,0.000251775
M,512,4,0.001021607,0.000043387,0.001996946,0.000411587
MD,512,4,0.001042204,0.000035415,0.001606772,0.000411413
MC,512,4,0.001322620,0.000033076,0.003219774,0.000408762
MB,512,4,0.000000000,0.000000000,0.007297058,0.000127656
M,512,8,0.001167421,0.000014608,0.002816432,0.000121500
MD,512,8,0.001023057,0.000009475,0.001936102,0.000090280
MC,512,8,0.001491950,0.000008399,0.002878976,0.000090642
MB,512,8,0.000000000,0.000000000,0.008008938,0.000065689
M,512,16,0.001816278,0.000006435,0.005756660,0.000074778
MD,512,16,0.001495481,0.000003018,0.003866353,0.000048695
MC,512,16,0.001613960,0.000002775,0.002924793,0.000051105
MB,512,16,0.000000000,0.000000000,0.007940764,0.000037539
S,1024,1,0.004208680,0.004208680,0.022575292,0.022575292
SB,1024,1,473.928713791,473.928713791,0.003857379,0.003857379
M,1024,1,0.003615279,0.003614030,0.026869333,0.025658436
MD,1024,1,0.008737509,0.006022723,0.026960869,0.023892360
MC,1024,1,0.006891322,0.001673307,0.037544169,0.026104679
MB,1024,1,0.000000000,0.000000000,0.044606590,0.002112975
M,1024,2,0.004704823,0.001890070,0.013906550,0.010171249
MD,1024,2,0.006633635,0.001115417,0.014553380,0.011001925
MC,1024,2,0.006177630,0.000451164,0.022404974,0.012431262
MB,1024,2,0.000000000,0.000000000,0.033701982,0.001061831
M,1024,4,0.005143545,0.000318620,0.011815097,0.004985783
MD,1024,4,0.006014721,0.000202637,0.012317698,0.005069213
MC,1024,4,0.007097952,0.000146554,0.026606390,0.005133297
MB,1024,4,0.000000000,0.000000000,0.031921258,0.000530472
M,1024,8,0.008645785,0.000064826,0.016859815,0.001968405
MD,1024,8,0.004440732,0.000044718,0.008274293,0.001656508
MC,1024,8,0.006776454,0.000047991,0.016052885,0.001903658
MB,1024,8,0.000000000,0.000000000,0.030038862,0.000282137
M,1024,16,0.008834255,0.000025365,0.024975424,0.000479336
MD,1024,16,0.005892501,0.000014579,0.012765136,0.000297916
MC,1024,16,0.008703825,0.000015996,0.013881676,0.000274577
MB,1024,16,0.000000000,0.000000000,0.032301877,0.000148170
S,2048,1,0.049108477,0.049108477,0.367800420,0.367800420
SB,2048,1,477.557116684,477.557116684,0.029575065,0.029575065
M,2048,1,0.048593769,0.048590708,0.357774127,0.351799829
MD,2048,1,0.064107351,0.050305731,0.352093756,0.338005795
MC,2048,1,0.050028195,0.006782048,0.546045265,0.436266820
MB,2048,1,0.000000000,0.000000000,0.203330615,0.008843281
M,2048,2,0.037561181,0.012543955,0.083359361,0.065151565
MD,2048,2,0.054456000,0.010385072,0.082322533,0.061187823
MC,2048,2,0.051281588,0.001755173,0.159153175,0.073681681
MB,2048,2,0.000000000,0.000000000,0.152663212,0.004368250
M,2048,4,0.029927855,0.002806690,0.062316892,0.027608404
MD,2048,4,0.033316221,0.001784027,0.055964916,0.029823046
MC,2048,4,0.052318995,0.000470326,0.156011484,0.036506815
MB,2048,4,0.000000000,0.000000000,0.136448278,0.002257202
M,2048,8,0.035423291,0.000645206,0.071039546,0.013505363
MD,2048,8,0.023651958,0.000226803,0.049984667,0.013967099
MC,2048,8,0.054349236,0.000153022,0.120773256,0.015788836
MB,2048,8,0.000000000,0.000000000,0.131216433,0.001070609
M,2048,16,0.047131629,0.000131938,0.142398264,0.005927508
MD,2048,16,0.022842643,0.000077317,0.056365824,0.005586083
MC,2048,16,0.071326807,0.000061560,0.109961920,0.006616769
MB,2048,16,0.000000000,0.000000000,0.132903059,0.000569651
S,4096,1,0.198056484,0.198056484,1.895920664,1.895920664
SB,4096,1,478.163026986,478.163026986,0.123993809,0.123993809
M,4096,1,0.200249126,0.200244884,1.909327443,1.886715875
MD,4096,1,0.259506578,0.203925269,1.944094315,1.889835081
MC,4096,1,0.273207746,0.026849215,2.348303838,1.882054079
MB,4096,1,0.000000000,0.000000000,0.797211921,0.035354426
M,4096,2,0.172011635,0.048472154,0.744155557,0.695664239
MD,4096,2,0.217877293,0.053733387,0.922768116,0.871508231
MC,4096,2,0.259427936,0.006870561,1.309331143,0.905137393
MB,4096,2,0.000000000,0.000000000,0.610160029,0.017652519
M,4096,4,0.136254082,0.012126484,0.382246001,0.275295317
MD,4096,4,0.145768604,0.011719041,0.417870164,0.295167315
MC,4096,4,0.243795075,0.001741855,0.882606332,0.348260438
MB,4096,4,0.000000000,0.000000000,0.531694632,0.008939726
M,4096,8,0.154291801,0.003257585,0.316121354,0.067335231
MD,4096,8,0.111407208,0.002134788,0.272713244,0.083600841
MC,4096,8,0.282476974,0.000489864,0.622089028,0.080742552
MB,4096,8,0.000000000,0.000000000,0.498794460,0.004817533
M,4096,16,0.181249750,0.000987878,0.753087540,0.029838130
MD,4096,16,0.103827057,0.000299668,0.552702694,0.039682417
MC,4096,16,0.272917469,0.000156558,0.499816718,0.036933160
MB,4096,16,0.000000000,0.000000000,0.517301404,0.002461767
